File Created:,Fri Jul 26 12:41:33 2024
Heat Source Version:,9.0.0b26
Simulation Name:,WFK23
User Text:,Westfork Kickapoo
Output:,Solar Radiation Flux blocked by Land Cover (watts/square meter)
""
Datetime,STREAM_KM,LC_T1_S1,LC_T1_S2,LC_T1_S3,LC_T1_S4,LC_T1_S5,LC_T2_S1,LC_T2_S2,LC_T2_S3,LC_T2_S4,LC_T2_S5,LC_T3_S1,LC_T3_S2,LC_T3_S3,LC_T3_S4,LC_T3_S5,LC_T4_S1,LC_T4_S2,LC_T4_S3,LC_T4_S4,LC_T4_S5,LC_T5_S1,LC_T5_S2,LC_T5_S3,LC_T5_S4,LC_T5_S5,LC_T6_S1,LC_T6_S2,LC_T6_S3,LC_T6_S4,LC_T6_S5,LC_T7_S1,LC_T7_S2,LC_T7_S3,LC_T7_S4,LC_T7_S5,LC_T8_S1,LC_T8_S2,LC_T8_S3,LC_T8_S4,LC_T8_S5,Diffuse_Blocked
45108.9583333,23.500,0.0000,0.0000,0.0000,0.0000,0.0000,1.2118,2.4087,2.5342,3.8682,5.9117,2.4461,13.0453,10.6994,11.4244,0.4197,23.4402,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.7091,1.3023,0.5771,0.0000,0.0000,0.0000,0.0003,0.0006,0.0019,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,56.7694
45108.9583333,23.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.9009,1.5136,3.5118,4.9789,8.4502,5.4492,17.4563,1.8564,9.2163,2.6248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.1125,6.1291,3.2803,1.6238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.9995
45108.9583333,23.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7671,4.8913,2.3777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5848,0.3060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.4254
45108.9583333,23.200,0.0000,0.0000,0.0000,0.0000,0.0000,7.0210,7.3328,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2825,0.6312,0.3089,0.1616,0.0538,0.0001,0.0002,0.0004,0.0012,0.0070,0.0000,0.0000,0.0000,0.0000,0.0000,30.5892
45108.9583333,23.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9095,1.3737,0.6214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.1998
45108.9583333,23.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0988,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9286
45108.9583333,22.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3404
45108.9583333,22.800,0.0000,0.0000,0.0000,0.0000,0.0000,4.1086,13.2316,0.0000,0.0000,0.0000,32.2006,0.5474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.8502,0.1246,0.0000,0.0000,0.0000,1.9592,2.4241,5.9715,5.6124,4.9723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.1535
45108.9583333,22.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8404,1.9170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9232
45108.9583333,22.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,2.7491
45108.9583333,22.500,0.0138,0.0596,0.0000,0.0000,0.0000,0.1438,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.2890,0.0000,0.0000,0.0000,0.0000,0.0175,0.0280,0.0587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0411
45108.9583333,22.400,0.0722,0.0098,0.0025,0.0027,0.0002,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9274
45108.9583333,22.300,0.0749,0.0033,0.0000,0.0000,0.0000,0.0021,0.0000,0.0000,0.0000,0.0725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4207
45108.9583333,22.200,0.0001,0.0014,0.0108,0.0009,0.0916,0.0631,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9419
45108.9583333,22.100,0.0011,0.0029,0.0077,0.0204,0.0698,3.1923,0.8977,0.1035,0.1664,0.0915,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0926
45108.9583333,22.000,0.0006,0.0017,0.0111,0.0213,0.0610,0.0140,0.0214,0.0004,0.2479,0.1552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.3343
45108.9583333,21.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1147,0.1357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5314
45108.9583333,21.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1240,0.0000,0.6788,0.5367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1912
45108.9583333,21.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0336,0.0000,0.0000,0.0000,1.9331,0.0086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3127
45108.9583333,21.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.1581,4.7885,0.9670,0.4721,0.0000,7.3490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0157,5.7883,1.2006,3.1284,2.3634,0.0000,0.0000,0.0066,0.0105,0.0169,0.0000,0.0000,0.0000,0.0000,0.0000,30.2916
45108.9583333,21.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0187,3.1488,6.9344,3.6957,4.2559,0.0048,0.0021,0.0050,0.0404,0.0235,0.0000,0.0000,0.0000,0.0000,0.0000,24.5161
45108.9583333,21.400,0.0000,0.0000,0.0000,0.0000,0.0000,5.9615,0.0000,0.0000,6.9573,5.4994,13.1864,19.0896,0.0000,0.0000,0.0000,22.1134,0.0000,0.0000,0.0000,0.0000,10.7711,18.1703,0.0000,0.0000,0.0000,0.1147,0.0567,6.6659,6.5506,2.3587,0.0000,0.0100,0.0000,0.0167,0.0120,0.0000,0.0000,0.0000,0.0000,0.0000,55.7867
45108.9583333,21.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.4131,7.5776,2.8555,0.6897,0.5776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6991,0.5407,0.0000,0.0000,0.0000,0.0040,0.0107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.9285
