File Created:,Wed Jul 17 17:15:51 2024
Heat Source Version:,9.0.0b26
Simulation Name:,WFK23
User Text:,Westfork Kickapoo
Output:,Solar Radiation Flux blocked by Land Cover (watts/square meter)
""
Datetime,STREAM_KM,LC_T1_S1,LC_T1_S2,LC_T1_S3,LC_T1_S4,LC_T1_S5,LC_T2_S1,LC_T2_S2,LC_T2_S3,LC_T2_S4,LC_T2_S5,LC_T3_S1,LC_T3_S2,LC_T3_S3,LC_T3_S4,LC_T3_S5,LC_T4_S1,LC_T4_S2,LC_T4_S3,LC_T4_S4,LC_T4_S5,LC_T5_S1,LC_T5_S2,LC_T5_S3,LC_T5_S4,LC_T5_S5,LC_T6_S1,LC_T6_S2,LC_T6_S3,LC_T6_S4,LC_T6_S5,LC_T7_S1,LC_T7_S2,LC_T7_S3,LC_T7_S4,LC_T7_S5,LC_T8_S1,LC_T8_S2,LC_T8_S3,LC_T8_S4,LC_T8_S5,Diffuse_Blocked
45108.9583333,23.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1255,0.4765,2.0242,11.0065,3.4999,23.0163,11.0755,4.4693,0.0000,0.0000,23.8244,0.0000,0.0000,0.0000,0.0000,8.8669,0.0000,0.0000,0.0000,0.0000,7.1297,8.5266,3.1508,0.7975,0.6669,0.0001,0.0003,0.0008,0.0021,0.0054,0.0000,0.0000,0.0000,0.0000,0.0000,55.7126
45108.9583333,23.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.1290,0.3436,4.3709,3.9558,11.7642,22.4810,7.4785,0.0000,2.7843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.2370,0.3306,0.0000,0.0000,0.0000,2.9138,3.1718,6.7060,4.5451,1.9716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.3698
45108.9583333,23.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4517,0.2241,1.6332,1.1851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.8277,0.0000,0.0000,0.0000,0.0000,0.0018,2.0719,0.9695,3.9219,2.6331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.5052
45108.9583333,23.200,0.0000,0.0000,0.0000,0.0000,0.0000,14.6265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.5547,0.0000,0.0000,0.0000,0.0000,10.4611,6.2264,2.1858,1.2003,1.1380,0.0000,0.0001,0.0001,0.0003,0.0083,0.0000,0.0000,0.0000,0.0000,0.0000,42.6710
45108.9583333,23.100,0.0000,0.0000,0.0000,0.0000,0.0000,15.0417,2.6646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.2861,0.0000,0.0000,0.0000,0.0000,14.3090,3.5075,0.9818,0.6215,0.4683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.4739
45108.9583333,23.000,0.0000,0.0000,0.0000,0.0000,0.0000,15.6416,3.0250,1.0651,0.2597,0.4193,8.6791,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.1287,0.0000,0.0000,0.0000,0.0000,15.1131,2.7667,0.9128,0.4793,0.2756,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.9505
45108.9583333,22.900,0.0000,0.0000,0.0000,0.0000,0.0000,14.2280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6634,0.0000,0.0000,0.0000,0.0000,15.3120,2.4589,0.8579,0.4462,0.2625,0.0005,0.0008,0.0021,0.0000,0.0054,0.0000,0.0000,0.0000,0.0000,0.0000,29.3998
45108.9583333,22.800,0.0000,0.0000,0.0000,0.0000,0.0000,15.7347,1.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4676,0.0000,0.0000,0.0000,0.0000,15.1962,0.9273,0.8966,0.4606,1.7991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0178
45108.9583333,22.700,0.0000,0.0000,0.0000,0.0000,0.0000,15.6676,3.2116,1.0007,0.3722,0.2030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0781,0.0000,0.0000,0.0000,0.0000,15.3854,2.4589,0.8303,0.4052,0.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.6902
45108.9583333,22.600,0.0000,0.0000,0.0000,0.0000,0.0000,16.0058,2.8487,0.9075,0.4515,0.0000,6.1044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8610,0.0000,0.0000,0.0000,0.0000,15.4234,2.3253,0.8344,0.4154,0.2442,0.0012,0.0039,0.0085,0.0215,0.0542,0.0000,0.0000,0.0000,0.0000,0.0000,34.0256
45108.9583333,22.500,0.0011,0.0029,0.0073,0.0184,0.0465,0.0000,0.0000,0.0000,0.2056,0.1364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4359,2.2837,0.9035,0.5783,0.0000,0.0008,0.0057,0.0107,0.0269,0.0677,0.0000,0.0000,0.0000,0.0000,0.0000,30.0995
45108.9583333,22.400,0.0012,0.0000,0.0000,0.0000,0.0000,15.9349,2.8734,0.7913,0.3512,0.2152,6.5175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.3639,0.7054,0.3506,0.6794,0.4539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.2060
45108.9583333,22.300,0.0016,0.0040,0.0101,0.0256,0.0643,0.0000,0.0946,0.7853,0.3046,0.1832,6.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0022,1.2123,0.0000,0.0000,0.8120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9882
45108.9583333,22.200,0.0015,0.0097,0.0154,0.0244,0.0388,5.5755,9.7600,4.8149,1.1847,0.9313,3.1284,6.7456,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8686,0.0000,0.0000,0.0000,0.0000,9.4586,5.0365,0.7771,2.1950,1.1642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.9812
45108.9583333,22.100,0.0000,0.0000,0.0225,0.0342,0.0460,15.6696,0.2139,1.9805,1.5537,1.1417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8302,3.6591,7.4820,2.4482,1.5125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.2851
